,country,article_name,revision_id,article_quality,population
401,Uganda,Maria Mutagamba,796899099,Start,44100000.0
402,Uganda,Sarah Achieng Opendi,796991691,Start,44100000.0
403,Uganda,Benedicto Kiwanuka,797399615,Start,44100000.0
404,Uganda,Yusuf Lule,797449179,Start,44100000.0
405,Uganda,Miria Obote,797874277,Stub,44100000.0
406,Uganda,Grace Akello,798483499,Start,44100000.0
407,Uganda,Joyce Moriku,798506935,Start,44100000.0
408,Uganda,David Karubanga,799178559,Stub,44100000.0
409,Uganda,Peter Takirambudde,799513148,Stub,44100000.0
410,Uganda,Mustafa Adrisi,799651351,Stub,44100000.0
411,Uganda,Rose Namayanja,800003733,C,44100000.0
412,Uganda,Timeline of Kampala,800090136,C,44100000.0
413,Uganda,Dora Byamukama,800350710,Stub,44100000.0
414,Uganda,Kirya Balaki Kebba,800452152,C,44100000.0
415,Uganda,Ismail Ogama,800595514,Stub,44100000.0
416,Uganda,Kassiano Wadri,800595577,Stub,44100000.0
417,Uganda,Abraham Waligo,800900766,Stub,44100000.0
418,Uganda,Rebecca Kadaga,800965489,Start,44100000.0
419,Uganda,Emma Boona,801577218,C,44100000.0
420,Uganda,Augustine Nshimye,801836959,Start,44100000.0
421,Uganda,Ibrahim Ssemujju Nganda,801874546,Start,44100000.0
422,Uganda,Paulo Muwanga,802211455,Start,44100000.0
423,Uganda,Christopher Kibanzanga,802286792,Start,44100000.0
424,Uganda,Ezekiel Tenywa Wako of Busoga,802517620,Stub,44100000.0
425,Uganda,Robert Kyagulanyi Ssentamu,802822017,C,44100000.0
426,Uganda,Mariam Najjemba,802972400,Start,44100000.0
427,Uganda,Bernadette Olowo,803360897,Stub,44100000.0
428,Uganda,Monica Azuba Ntege,803417110,Start,44100000.0
